Actual Demand_kWh,Predicted Demand_kWh
2.1,1.5042177
0.48,0.75865877
0.14,0.23380715
2.98,2.6998599
0.44,0.51066774
2.98,2.8847787
2.37,1.4344407
1.99,1.7272308
2.101,2.584913
0.7,1.1828718
1.23,1.0915171
1.07,0.97563386
2.14,2.3654377
1.13,1.0258386
1.691,1.7012815
2.06,1.6964651
1.57,1.3810475
0.197,0.3931491
2.943,2.766057
0.38,0.61029744
2.7,1.9539415
3.28,3.2198722
1.76,1.8591392
4.56,4.6845107
1.06,0.9560144
0.793,0.8401331
0.82,0.7911518
0.9,0.78547776
1.18,0.70187384
3.06,3.2090752
2.12,1.729158
4.93,3.5459414
2.59,2.4725447
6.181,5.6360426
3.29,3.7069452
0.93,0.98724043
4.85,5.489256
2.4,2.2241533
0.501,0.6223263
2.1,1.9266603
0.12,0.28178316
2.3,3.1662757
2.42,2.1965125
2.61,2.0235474
0.59,0.57691765
3.507,2.8574302
3.54,3.2465641
1.61,1.9755683
4.492,4.514331
0.78,0.8171388
0.13,0.07160584
2.83,3.6439898
1.01,0.65400296
0.14,0.13878188
0.15,0.07981307
3.09,2.6874099
3.92,3.5776615
2.012,1.810654
2.21,2.308228
4.93,3.513324
2.21,2.2752097
2.7,2.3545218
2.138,2.0736208
2.7,2.990476
2.221,1.959741
1.59,1.1661415
0.61,0.6773347
0.441,0.41536143
1.63,2.0187988
1.121,0.95064104
2.999,1.852415
1.18,0.8642452
0.737,0.8162123
4.516,4.690693
0.67,0.4248318
1.22,1.202241
2.33,2.4598675
2.06,2.4359758
3.707,3.7201967
3.88,2.8554935
2.598,1.9631772
6.19,5.9972267
2.97,2.2228553
2.01,1.8371675
4.91,4.326749
1.31,1.4274381
0.55,0.8015554
2.52,2.6775987
5.97,4.9822044
0.46,0.32925034
0.26,0.28396046
0.43,0.24740878
1.01,0.8191774
3.27,3.8456075
1.86,1.8189058
2.7,3.0987034
7.46,7.0996947
1.308,1.2374306
0.09,-0.009817652
0.78,0.8745749
